Name													CRC32		Size
Chaos Seed [cs].rsn											8E983C46	179433
College Slam Basketball [csb].rsn									5C327FF5	72201
Caravan Shooting Collection [csc].rsn									436F4B6E	110630
Cool Spot [cspot].rsn											38D1D2E4	72216
Congo the Movie - The Secret of Zinj [csz].rsn								B145C7EF	84822
Chrono Trigger [ct].rsn											4BE8E7C4	325148
Captain Tsubasa 3 [ct3].rsn										041D0B73	75725
Captain Tsubasa 4 [ct4].rsn										561D613D	106551
Captain Tsubasa 5 [ct5].rsn										2C771FAC	178238
Controller Test Cartridge [ctc].rsn									E295ACFF	5271
Cutthroat Island [cti].rsn										1B067672	114997
Captain Tsubasa J [ctj].rsn										D06BFCA8	59676
Clock Tower [ctow].rsn											B86201FB	97535
Chrono Trigger Pre-Release [ctp].rsn									8B02BFFB	286527
Marchen Adventure Cotton 100% [cttn].rsn								EBD0743D	204065
Clock Works [cw].rsn											71184ED0	49709
Champions World Class Soccer [cwcs].rsn									E3D74139	75983
Dark Half [daha].rsn											1CB73AED	201761
Dark Law - Meaning of Death [dala].rsn									AF996B40	70508
Dolucky's A-League Soccer [dals].rsn									C460F57F	131192
Tuff E Nuff [dance].rsn											43A73247	118543
Super Dany [dany].rsn											54D896F0	175526
Dark Kingdom [dark].rsn											F53A5872	111692
Death and Return of Superman, The [dars].rsn								D10263AE	64858
Daze Before Christmas [dbc].rsn										D50FD463	71236
Dragon Ball Z - Hyper Dimension [dbhd].rsn								005A4CCD	84088
Dragon - The Bruce Lee Story [dbls].rsn									B27E521F	146068
Dear Boys [dboys].rsn											E0342903	72137
Death Brade [dbra].rsn											02AAA147	53821
Dragon Ball Z Super Gokuden - Totsugeki-Hen [dbth].rsn							5FF7C529	184571
Dragon Ball Z - Super Butouden [dbzb].rsn								2330BF83	204348
Dragon Ball Z - Super Butouden 2 [dbzb2].rsn								36BC1284	101628
Dragon Ball Z - Super Butouden 3 [dbzb3].rsn								0DA7027D	134298
Dragon Ball Z RPG - Legend of the Super Saiya-jin [dbzr].rsn						8134C840	54278
Demon's Crest [dc].rsn											CE88136B	144421
David Crane's Amazing Tennis [dcat].rsn									A9CA98E4	48931
Double Dragon 5 [dd5].rsn										80ABDA4A	196654
Donald Duck - Mahou no Boushi [ddmb].rsn								355051EB	165551
Dino Dini's Soccer [dds].rsn										B426660B	72736
Daisenryaku Expert [de].rsn										4AD280C4	70828
Daisenryaku Expert WWII [de2].rsn									B515CA75	209809
Demolition Man [deman].rsn										02227F20	115943
Kaite Tukutte Asoberu Dezaemon [dezae].rsn								4C75508F	72582
Darius Force (Super Nova) [df].rsn									EBD90303	113786
Dossun! Ganseki Battle [dgb].rsn									1A37CED2	62400
Dharma Doujou [dhdo].rsn										35E90131	164969
Dino City [dici].rsn											8B8F0481	77606
Dimension Force [difo].rsn										B651C3BD	35613
Dirt Racer [dirt].rsn											C9A3A610	65515
Kinnikuman - Dirty Challenger [dirty].rsn								618DD318	47440
Derby Jockey [dj].rsn											5390D5EE	67357
Derby Jockey 2 [dj2].rsn										86892ABF	61563
Donkey Kong (Super Gameboy) [dk].rsn									44BBE5E8	51104
Dragon Knight 4 [dk4].rsn										B5A90FBA	134027
Donkey Kong Country [dkc].rsn										9A2A3B81	120544
Donkey Kong Country 3 [dkdt].rsn									E3D1217E	315880
Dai Kaiju Monogatari [dkm].rsn										86040D0E	269960
Donkey Kong Country 2 [dkq].rsn										B9025D7B	354282
Doukyuusei 2 [dks2].rsn											9646F7BE	84490
Date Kimiko no Virtual Tennis [dkvt].rsn								75028123	83963
Dolucky's Kusa Yakyu [dky].rsn										3B1B5A08	91504
Der Langrisser [dl].rsn											1FE555FB	198930
Demon of Laplace [dlp].rsn										68EE2EED	63554
Dolucky no Puzzle Tour '94 [dlpt].rsn									EC604027	114992
Dungeon Master [dm].rsn											9AFDA05D	151963
Dream Maze - Kigurumi Daibouken [dmkd].rsn								26E5DB2B	33183
Downtown Nekketsu Baseball Monogatari [dnbm].rsn							A0C62FF9	124494
Dual Orb [do].rsn											98CA8239	125653
Dual Orb 2 [do2].rsn											8931424F	145202
Arkanoid - Doh it Again [doh].rsn									24287C95	49989
Dokapon 321 [doka].rsn											C8E13A41	161695
Doom [doom].rsn												45392CEF	155165
Doraemon [dor].rsn											90A73690	52472
Doraemon 2 [dor2].rsn											64B78534	90562
Doraemon 3 [dor3].rsn											7899F628	188061
Doraemon 4 [dor4].rsn											F0BFF0B1	108234
Dragon Quest 1 & 2 [dq12].rsn										3863669D	124867
